Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gemstone,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/purple-gemstone-necklace_925x_ef76b45d-1406-43e9-9415-b02584719cec.jpg?v=1620439255,4,,,,,,,,,,,,,,,,,,,,,,
galaxy-earrings,Galaxy Earrings,"<p>One set of galaxy earrings, with sterling silver clasps.</p>",Sterling Ltd,Earrings,"Blue, Galaxy, Silver",true,Title,Default Title,,,,,,0.0,,1,deny,manual,38,46,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/galaxy-earrings_925x_45f10106-ac06-4642-a7ce-01f180582dda.jpg?v=1620439252,1,,false,,,,,,,,,,,,,,,,,kg,,,active
dreamcatcher-pendant-necklace,Dreamcatcher Pendant Necklace,"<p>Turquoise beaded dream catcher necklace. Silver feathers adorn this beautiful dream catcher, which move and twinkle as you walk.</p>",Sterling Ltd,Necklace,"Dreamcatcher, Pendant, Silver, Turquoise",true,Title,Default Title,,,,,,0.0,,1,deny,manual,24,42,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/dreamcatcher-pendant-necklace_925x_ac4a912f-d655-414a-9c71-cd7a7429e74d.jpg?v=1620439251,1,,false,,,,,,,,,,,,,,,,,kg,,,active
dreamcatcher-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/gold-dream-catcher-necklace_925x_a622450c-9d21-4070-9859-3377340442b5.jpg?v=1620439251,2,,,,,,,,,,,,,,,,,,,,,,
dainty-gold-neclace,Dainty Gold Necklace,<p>Dainty gold necklace with two pendants.</p>,Company 123,Necklace,"Gold, Pendant",true,Title,Default Title,,,,,,0.0,,1,deny,manual,64,70,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/dainty-gold-necklace_925x_999f571e-7154-4164-bfe4-3444da4df7e5.jpg?v=1620439249,1,,false,,,,,,,,,,,,,,,,,kg,,,active
dainty-gold-neclace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-gold-necklace_925x_81094f6e-5d3c-4991-9c93-39ee0745c5a3.jpg?v=1620439249,2,,,,,,,,,,,,,,,,,,,,,,
choker-with-triangle,Choker with Triangle,<p>Black choker with silver triangle pendant.</p>,Company 123,Necklace,"Leather, Silver, Triangle",true,Title,Default Title,,,,,,0.0,,1,deny,manual,48,50,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/choker-with-triangle_925x_3356f21e-9d61-46c6-adf2-72789c304719.jpg?v=1620439247,1,,false,,,,,,,,,,,,,,,,,kg,,,active
choker-with-gold-pendant,Choker with Gold Pendant,"Black cord choker with gold pendant. Beautifully died black leather shapes a choker necklace with findings of 14k yellow gold, displaying gold pendant in a gorgeous balance of dark and light, delicate and strong. <ul>
<li>14k yellow gold</li>
<li>Leather</li>
<li>Length, 12"" with 2.5"" extender</li>
<li>Width, 0.3""</li>
<li>Lobster clasp</li>
<li>Made in USA</li>
</ul>",Company 123,Necklace,"Choker, Gold, Leather, Pendant",true,Title,Default Title,,,,,,0.0,,1,deny,manual,30,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/choker-with-gold-pendant_925x_24030a38-5074-424b-8ed4-eb309d301845.jpg?v=1620439246,1,,false,,,,,,,,,,,,,,,,,kg,,,active
choker-with-gold-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/choker-pendant-closeup_925x_d4dd1bda-25b1-4e27-806e-ea9e2de6d7c7.jpg?v=1620439246,2,,,,,,,,,,,,,,,,,,,,,,
choker-with-bead,Choker with Bead,<p>Black choker necklace with 14k gold bead.</p>,Company 123,Necklace,"Gold, Leather",true,Title,Default Title,,,,,,0.0,,1,deny,manual,15,20,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/black-choker-with-bead_925x_aae2a52e-c851-4ab1-97b6-cece4fb7c3d3.jpg?v=1620439244,1,,false,,,,,,,,,,,,,,,,,kg,,,active
choker-with-bead,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/choker-with-bead_925x_1b46e6ea-c0f1-4a0b-908c-8374c7839db5.jpg?v=1620439244,2,,,,,,,,,,,,,,,,,,,,,,
boho-earrings,Boho Earrings,<p>Turquoise globe earrings on 14k gold hooks.</p>,Company 123,Earrings,"Silver, Turquoise",true,Title,Default Title,,,,,,28.0008239905625,,1,deny,manual,28,36,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/boho-earrings_925x_d1327cc1-5a90-4e15-81b1-35453f73667c.jpg?v=1620439242,1,,false,,,,,,,,,,,,,,,,,oz,,,active
boho-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/inspired-woman_925x_02cdd1f1-7d27-4579-813b-59ab103174c9.jpg?v=1620439242,2,,,,,,,,,,,,,,,,,,,,,,
boho-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/necklace-earrings-set_925x_1ebd9c71-ac71-4e80-b4db-bd7033c3997b.jpg?v=1620439242,3,,,,,,,,,,,,,,,,,,,,,,
bangle-bracelet-with-feathers,Boho Bangle Bracelet,<p>Gold boho bangle bracelet with multicolor tassels.</p>,Company 123,Bracelet,Gold,true,Title,Default Title,,,,,,0.0,,1,deny,manual,43,45,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/bangle-bracelet-with-feathers_925x_a5d9974a-9a2c-45c9-a008-88edce48c055.jpg?v=1620439240,1,,false,,,,,,,,,,,,,,,,,kg,,,active
bangle-bracelet,Bangle Bracelet,<p>Gold bangle bracelet with studded jewels.</p>,Company 123,Bracelet,"Diamond, Gem, Gold",true,Title,Default Title,,,,,,0.0,,1,deny,manual,40,44,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/bangle-bracelet-with-jewels_925x_fcc43200-e2bc-4a5e-be1b-9cc0879fdc70.jpg?v=1620439239,1,,false,,,,,,,,,,,,,,,,,kg,,,active
leather-anchor,Anchor Bracelet Mens,<p>Black leather bracelet with gold or silver anchor for men.</p>,Company 123,Bracelet,"Anchor, Gold, Leather, Silver",true,Color,Gold,,,,,,0.0,,1,deny,manual,70,85,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/anchor-bracelet-mens_925x_3be88a58-7c26-42a8-a084-8a564abcf467.jpg?v=1620439237,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/anchor-bracelet-mens_925x_3be88a58-7c26-42a8-a084-8a564abcf467.jpg?v=1620439237,kg,,,active
leather-anchor,,,,,,,,Silver,,,,,,0.0,,0,deny,manual,55,85,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/anchor-bracelet-for-men_925x_d48a0a8f-c98c-4b3d-b23c-7dd137478ddb.jpg?v=1620439237,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/anchor-bracelet-for-men_925x_d48a0a8f-c98c-4b3d-b23c-7dd137478ddb.jpg?v=1620439237,kg,,,
leather-anchor,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/leather-anchor-bracelet-for-men_925x_820c1f9c-24cf-4d9e-ab6f-f6c7d9e6c19c.jpg?v=1620439237,3,,,,,,,,,,,,,,,,,,,,,,
chain-bracelet,7 Shakra Bracelet,"<p>7 chakra bracelet, in blue or black.</p>",Company 123,Bracelet,Beads,true,Color,Blue,,,,,,0.0,,1,deny,manual,43,45,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/7-chakra-bracelet_925x_6a4c5ee0-b602-4cac-8249-cda06160d0ea.jpg?v=1620439234,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/navy-blue-chakra-bracelet_925x_c6318661-333d-4832-970e-1f4bf22651ad.jpg?v=1620439234,kg,,,active
chain-bracelet,,,,,,,,Black,,,,,,0.0,,0,deny,manual,43,45,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/navy-blue-chakra-bracelet_925x_c6318661-333d-4832-970e-1f4bf22651ad.jpg?v=1620439234,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/7-chakra-bracelet_925x_6a4c5ee0-b602-4cac-8249-cda06160d0ea.jpg?v=1620439234,kg,,,
bedside-table,Bedside Table,<p>Wooden bedside table</p>,Company 123,Indoor,"Bedroom, Wood",true,Title,Default Title,,,,,,0.0,,1,deny,manual,70,85,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/dark-wall-bedside-table_925x_0bd473ad-e2f3-4ee7-832e-de750cde7d32.jpg?v=1620439153,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-bean-bag,Black Beanbag,<p>Black leather beanbag</p>,Company 123,Indoor,"Black, Leather",true,Title,Default Title,,,,,,0.0,,6,deny,manual,70,80,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/comfortable-living-room-cat_925x_0bf34410-cda6-4e52-90b5-a0d279a30e18.jpg?v=1620439151,1,,false,,,,,,,,,,,,,,,,,kg,,,active
vanilla-candle,Vanilla candle,<p>Vanilla scent candle in jar</p>,Home Sweet Home,Indoor,Candle,true,Title,Default Title,,,,,,0.0,,5,deny,manual,16,30,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/diy-organic-candle_925x_fbfde8ee-d5a8-426d-a7e9-4552e293755f.jpg?v=1620439150,1,,false,,,,,,,,,,,,,,,,,kg,,,active
knitted-throw-pillows,Knitted Throw Pillows,<p>Homemade knitted throw pillows in a variety of colors</p>,Home Sweet Home,Indoor,Pillows,true,Title,Default Title,,,,,,0.0,,1,deny,manual,20,26,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/yellow-sofa-with-throw-pillows_925x_80c45660-3625-4a12-8214-2e1d7f59a0bd.jpg?v=1620439149,1,,false,,,,,,,,,,,,,,,,,kg,,,active
yellow-sofa,Yellow Sofa,<p>Two seater yellow sofa with wooden legs</p>,Home Sweet Home,Indoor,Sofa,true,Title,Default Title,,,,,,0.0,,5,deny,manual,100,150,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/yellow-couch-by-black-and-white-mural_925x_ff241797-92a3-4b1e-ab33-125cbaa04ebd.jpg?v=1620439148,1,,false,,,,,,,,,,,,,,,,,kg,,,active
wooden-fence,Wooden Fence,<p>Wooden garden fence</p>,Rustic LTD,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,0.0,,5,deny,manual,200,300,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/picket-fence-flowers_925x_d2be2b51-1674-4c3f-9597-11a8226a6d60.jpg?v=1620439147,1,,false,,,,,,,,,,,,,,,,,kg,,,active
wooden-outdoor-slats,Wooden outdoor slats,<p>Wooden outdoor fencing slats</p>,Rustic LTD,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,0.0,,0,deny,manual,26,35,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/house-plant-on-wooden-slat-wall_925x_dd7bb8af-4aae-47bd-a612-7833fdbe12f5.jpg?v=1620439146,1,,false,,,,,,,,,,,,,,,,,kg,,,active
grey-sofa,Grey Sofa,<p>Large four seater grey sofa</p>,Rustic LTD,Indoor,Sofa,true,Title,Default Title,,,,,,0.0,,6,deny,manual,30,35,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/large-grey-sofa-by-brick-wall_925x_3ca46db7-af3a-49d9-a783-8ad8099663bf.jpg?v=1620439144,1,,false,,,,,,,,,,,,,,,,,kg,,,active
biodegradable-cardboard-pots,Biodegradable cardboard pots,<p>Biodegradable outdoor cardboard pots</p>,Rustic LTD,Outdoor,"Garden, Plants",true,Title,Default Title,,,,,,0.0,shopify,8,deny,manual,10,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/potted-seeds_925x_672f41c9-d93a-49f0-b7c3-d9de523932f7.jpg?v=1620439143,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gardening-hand-trowel,Gardening hand trowel,<p>Metal gardening hand trowel with wooden handle</p>,Rustic LTD,Outdoor,Plants,true,Title,Default Title,,,,,,0.0,,2,deny,manual,11,25,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/spring-gardening-set-up_925x_cdd44435-c808-43ba-bff3-0776e3e927aa.jpg?v=1620439142,1,,false,,,,,,,,,,,,,,,,,kg,,,active
yellow-watering-can,Yellow watering can,<p>Vintage vibrant watering can</p>,Rustic LTD,Outdoor,Plants,true,Title,Default Title,,,,,,0.0,,4,deny,manual,41,50,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/flowers-in-yellow-watering-can_925x_dbedd071-5aaf-43da-928d-57394557f159.jpg?v=1620439141,1,,false,,,,,,,,,,,,,,,,,kg,,,active
white-ceramic-pot,White Ceramic Pot,<p>Homemade white ceramic flower pot</p>,Rustic LTD,Indoor,"Plants, Pot",true,Title,Default Title,,,,,,0.0,,1,deny,manual,16,30,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/house-plant-in-white-pot_925x_94996f5e-939a-4c55-9972-d85b56128e52.jpg?v=1620439140,1,,false,,,,,,,,,,,,,,,,,kg,,,active
brown-throw-pillows,Brown Throw Pillows,<p>Stylish brown throw pillows</p>,Rustic LTD,Indoor,Pillows,true,Title,Default Title,,,,,,0.0,,5,deny,manual,20,26,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/bedroom-bed-with-brown-throw-pillows_925x_6de5bb49-0001-4829-9450-064c1f8bae60.jpg?v=1620439139,1,,false,,,,,,,,,,,,,,,,,kg,,,active
wooden-outdoor-table,Wooden Outdoor Table,<p>Chic wooden outdoor garden table</p>,Rustic LTD,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,0.0,,3,deny,manual,100,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/cafe-patio_925x_7bdb450e-ee7c-417c-b780-55f46ced48e8.jpg?v=1620439138,1,,false,,,,,,,,,,,,,,,,,kg,,,active
pink-armchair,Pink Armchair,<p>Stylish pink armchair</p>,Company 123,Indoor,Chair,true,Title,Default Title,,,,,,0.0,,0,deny,manual,750,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/soft-pink-cushioned-armchair-in-stately-salon_925x_9eb9692b-4e05-4ac6-ad6a-a8e55ea9e795.jpg?v=1620439136,1,,false,,,,,,,,,,,,,,,,,kg,,,active
white-bed-clothes,White Bed Clothes,<p>Sleek white bed clothes</p>,Company 123,Indoor,Bed,true,Title,Default Title,,,,,,0.0,,1,deny,manual,30,35,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/bright-hotel-room-bed_925x_889b8fae-33c8-4319-9559-512a91c004de.jpg?v=1620439135,1,,false,,,,,,,,,,,,,,,,,kg,,,active
antique-drawers,Antique Drawers,<p>Antique wooden chest of drawers</p>,Company 123,Indoor,"Antique, Bedroom",true,Title,Default Title,,,,,,0.0,,2,deny,manual,250,300,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/babys-room_925x_6029bd89-7fb6-4f84-a3e1-e7780323df91.jpg?v=1620439134,1,,false,,,,,,,,,,,,,,,,,kg,,,active
cream-sofa,Cream Sofa,<p>Comfortable cream sofa with wooden base</p>,Company 123,Indoor,"Couch, Wood",true,Title,Default Title,,,,,,0.0,,4,deny,manual,500,750,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/condominium-interior-livingroom_925x_b3cb8516-a6d8-418b-8162-8003baaf3236.jpg?v=1620439133,1,,false,,,,,,,,,,,,,,,,,kg,,,active
copper-light,Copper Light,<p>Stylish copper bedside light</p>,Company 123,Indoor,"Bedroom, Copper",true,Title,Default Title,,,,,,0.0,,2,deny,manual,60,75,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/copper-light-in-bedroom_925x_e7aad5d6-9413-480b-87c4-b420e256080d.jpg?v=1620439132,1,,false,,,,,,,,,,,,,,,,,kg,,,active
clay-plant-pot,Clay Plant Pot,<p>Classic blown clay pot for plants</p>,Company 123,Outdoor,"Plants, Pot",true,Size,Regular,,,,,,0.0,,1,deny,manual,10,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/single-sprout-in-a-pot_925x_17fbf3aa-f264-4eef-a335-876392f14b49.jpg?v=1620439130,1,,false,,,,,,,,,,,,,,,,,kg,,,active
clay-plant-pot,,,,,,,,Large,,,,,,0.0,,3,deny,manual,16,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/pot-with-a-single-sprout_925x_b658b183-f7b4-4a68-9246-75fee2910c60.jpg?v=1620439130,2,,,,,,,,,,,,,,,,,,,kg,,,
led-high-tops,LED High Tops,"<p>Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.</p>",partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/putting-on-your-shoes_925x_5981d671-c284-420f-8fd1-487810fe433a.jpg?v=1620439108,1,,false,,,,,,,,,,,,,,,,,kg,,,active
striped-skirt-and-top,Striped Skirt and Top,<p>Black cotton top with matching striped skirt.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/woman-in-the-city_925x_39604e7d-6bae-4146-8500-ec574a4edc8b.jpg?v=1620439107,1,,false,,,,,,,,,,,,,,,,,kg,,,active
red-sports-tee,Red Sports Tee,<p>Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-red-t-shirt_925x_19e7bb76-6c60-4670-9398-989b04736dde.jpg?v=1620439106,1,,false,,,,,,,,,,,,,,,,,kg,,,active
blue-silk-tuxedo,Blue Silk Tuxedo,<p>Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.</p>,partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,70,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/man-adjusts-blue-tuxedo-bowtie_925x_0710ae4d-694c-41ef-b1a3-3e3e0d7eec31.jpg?v=1620439104,1,,false,,,,,,,,,,,,,,,,,kg,,,active
